element,image_path,caption
Mn,deficiencies/Mn\1.jpg,a close up of a leaf with brown spots on it - stock image
Mn,deficiencies/Mn\10.jpg,a plant with the names of the names of each plants
Mn,deficiencies/Mn\11.jpg,a close up of a plant with green leaves and brown spots on it - stock image
Mn,deficiencies/Mn\12.jpg,a close up of a green plant with leaves
Mn,deficiencies/Mn\13.jpg,a close up of a plant with green leaves
Mn,deficiencies/Mn\14.jpg,a col of photos showing the leaves and the leaves of a cannabis plant
Mn,deficiencies/Mn\15.jpg,a close up of a leaf with a green background
Mn,deficiencies/Mn\16.jpg,a leaf with yellow spots
Mn,deficiencies/Mn\17.jpg,a close up of a tomato plant with green leaves and brown spots on the leaves - stock photo
Mn,deficiencies/Mn\18.jpg,a close up of a leaf
Mn,deficiencies/Mn\19.jpg,the leaves of the plant are yellow and green
Mn,deficiencies/Mn\2.jpg,a close up of a leaf with yellow spots
Mn,deficiencies/Mn\20.jpg,four different types of leaves
Mn,deficiencies/Mn\21.jpg,a person holding a plant with green leaves
Mn,deficiencies/Mn\22.jpg,a leaf with yellow leaves
Mn,deficiencies/Mn\23.jpg,a selection of leaves with yellow and green leaves
Mn,deficiencies/Mn\24.jpg,a green leaf on a tree branch
Mn,deficiencies/Mn\25.jpg,a leaf with yellow spots on it
Mn,deficiencies/Mn\26.jpg,a young tomato plant growing in the garden - stock image
Mn,deficiencies/Mn\27.jpg,a close up of a plant with green leaves
Mn,deficiencies/Mn\28.jpg,magnesium vs magnesium deficiency
Mn,deficiencies/Mn\29.jpg,how to treat magnesium deficiency plant
Mn,deficiencies/Mn\3.jpg,a person holding a leaf in their hand
Mn,deficiencies/Mn\30.jpg,a close up of a leaf with brown spots on it - stock image
Mn,deficiencies/Mn\31.jpg,"a leaf with the words, ` ` ' and ` '"
Mn,deficiencies/Mn\32.jpg,a green leaf with a small leaf on it
Mn,deficiencies/Mn\33.jpg,a close up of a leaf with black spots
Mn,deficiencies/Mn\34.jpg,a pot filled with soil and a plant
Mn,deficiencies/Mn\35.jpg,a leaf with the letter f on it
Mn,deficiencies/Mn\36.jpg,a plant with yellow spots on it
Mn,deficiencies/Mn\37.jpg,a close up of a green leaf with black spots on it - stock image
Mn,deficiencies/Mn\38.jpg,a close up of a leaf on a plant
Mn,deficiencies/Mn\39.jpg,a leaf with green leaves on it
Mn,deficiencies/Mn\4.jpg,a close up of a leaf with green leaves
